Country,F1,F2,F3,F4,L1,L2,L3,L4
Algeria,300.9317891,10.68999958,0.260009132,1.951415209,1,0,0,0
Angola,5894.551805,51.22999954,0.140794038,3.597774308,0,1,0,0
Armenia,2378.105206,37.25,0.175849421,0.267013214,0,0,1,0
Burkina Faso,754.3186553,39.20000076,-0.00110209,2.997392478,1,0,0,0
China,2082.631534,33.59999847,0.067322045,0.487231118,0,1,0,1
Costa Rica,24104.09556,10.27999973,-0.451570819,1.178288353,0,0,0,1
Ethiopia,1315.690556,72.11000061,-0.009659131,2.829617214,1,0,0,0
Ghana,1165.543802,46.84999847,-0.043987508,2.369475311,1,0,0,0
Guatemala,7387.391995,32.25999832,-0.167958851,1.777495787,0,1,0,1
India,1142.376094,47,-0.014205114,1.231622928,0,0,0,1
Indonesia,8126.304654,35.93000031,-0.084092973,1.351892192,0,0,0,1
Israel,94.81069465,1.110000014,0.327080968,1.846151321,0,0,1,0
Italy,3065.180844,3.690000057,0.084778938,0.26954124,0,0,1,0
Jamaica,3807.001223,18.23999977,0.21907955,0.571731466,0,0,1,1
Japan,3369.140242,3.869999886,0.495722782,-0.159710676,0,0,1,0
Jordan,84.29252125,3.180000067,0.26856722,5.431586568,0,0,1,0
Kenya,466.8111902,59.22000122,-0.008993106,2.66270486,1,0,0,0
"Korea, Dem. People' s Rep.",2701.546236,46.31999969,0.023793324,0.514319797,0,1,0,0
"Korea, Rep.",1291.836452,6.130000114,0.394764742,0.525713661,0,0,1,0
Kyrgyz Republic,8726.280497,30.09000015,0.090182801,1.665236559,0,1,0,0
Lebanon,866.6396805,13.76000023,0.456769485,6.263879893,0,0,1,0
Lesotho,2595.54638,49.02000046,0.107238249,0.557534246,1,0,0,0
Malaysia,19953.10401,13.26000023,-0.410915463,1.445660673,0,0,0,1
Mexico,3487.55444,13.72000027,0.042578137,1.355289252,0,0,0,1
Montenegro,19259.36874,5.28000021,0.767507626,0.084147408,0,0,0,1
Morocco,872.3930264,39.22000122,0.109279079,1.393605966,1,0,0,1
Nepal,7343.498088,68.86000061,0.025278714,-0.190907924,0,1,0,0
Pakistan,293.6756025,42.88999939,0.005448211,2.126711756,1,0,0,0
Peru,55614.32169,27.44000053,0.004961943,0.825138039,0,1,0,0
Singapore,112.9425158,0.100000001,0.588376295,2.45339033,0,0,1,0
Syrian Arab Republic,348.880308,13.21000004,0.08723803,-3.084734319,1,0,0,0
Tajikistan,8058.581545,51.04999924,0.060862228,2.277533217,0,1,0,0
Tanzania,1785.240612,69.30000305,-0.006156806,2.97488817,0,1,0,0
Thailand,3309.454306,42.13999939,-0.320413494,0.469250687,0,1,0,0
Tunisia,386.7428069,17.06999969,0.10909549,0.973860812,1,0,0,0
United Kingdom,2276.287451,1.190000057,0.494540968,0.695353132,0,0,1,0
